indis,oyuncu1,oyuncu2,mac_sonucu,veri_indisi
44,sambalingo_llama2,trendyol_mistral,2,17657
47,meta_llama3,trendyol_mistral,2,17657
4,sambalingo_llama2,meta_llama3,1,28543
55,sambalingo_llama2,meta_llama3,1,18970
26,sambalingo_llama2,cosmos_llama3,1,8214
64,trendyol_mistral,sambalingo_llama2,2,20577
73,meta_llama3,trendyol_mistral,1,19560
10,sambalingo_llama2,trendyol_mistral,2,9642
40,sambalingo_llama2,trendyol_mistral,1,11072
107,trendyol_mistral,sambalingo_llama2,2,27969
18,trendyol_mistral,cosmos_llama3,,16772
62,cosmos_llama3,sambalingo_llama2,,20577
11,cosmos_llama3,trendyol_mistral,,9642
36,cosmos_llama3,sambalingo_llama2,,11072
89,cosmos_llama3,meta_llama3,,8471
91,sambalingo_llama2,trendyol_mistral,,6836
109,sambalingo_llama2,trendyol_mistral,,26438
0,trendyol_mistral,sambalingo_llama2,,28543
88,trendyol_mistral,meta_llama3,,8471
104,cosmos_llama3,sambalingo_llama2,,27969
65,meta_llama3,sambalingo_llama2,,20577
45,cosmos_llama3,meta_llama3,,17657
31,sambalingo_llama2,cosmos_llama3,,27623
70,sambalingo_llama2,meta_llama3,,10581
42,sambalingo_llama2,cosmos_llama3,,17657
12,meta_llama3,cosmos_llama3,,6011
15,cosmos_llama3,trendyol_mistral,,6011
114,cosmos_llama3,sambalingo_llama2,,8761
76,sambalingo_llama2,cosmos_llama3,,19560
97,sambalingo_llama2,cosmos_llama3,,30203
24,sambalingo_llama2,trendyol_mistral,,8214
78,meta_llama3,cosmos_llama3,,6631
22,cosmos_llama3,meta_llama3,,16772
96,sambalingo_llama2,trendyol_mistral,,30203
56,sambalingo_llama2,cosmos_llama3,,18970
110,sambalingo_llama2,meta_llama3,,26438
30,sambalingo_llama2,trendyol_mistral,,27623
53,trendyol_mistral,sambalingo_llama2,,19568
118,sambalingo_llama2,meta_llama3,,8761
9,sambalingo_llama2,cosmos_llama3,,9642
33,trendyol_mistral,cosmos_llama3,,27623
25,sambalingo_llama2,meta_llama3,,8214
69,sambalingo_llama2,cosmos_llama3,,10581
28,trendyol_mistral,cosmos_llama3,,8214
98,sambalingo_llama2,meta_llama3,,30203
85,sambalingo_llama2,cosmos_llama3,,8471
5,cosmos_llama3,meta_llama3,,28543
90,sambalingo_llama2,meta_llama3,,6836
68,trendyol_mistral,meta_llama3,,10581
39,sambalingo_llama2,meta_llama3,,11072
49,cosmos_llama3,trendyol_mistral,,19568
35,cosmos_llama3,meta_llama3,,27623
16,cosmos_llama3,sambalingo_llama2,,6011
66,trendyol_mistral,sambalingo_llama2,,10581
34,trendyol_mistral,meta_llama3,,27623
113,trendyol_mistral,meta_llama3,,26438
7,meta_llama3,cosmos_llama3,,9642
43,sambalingo_llama2,meta_llama3,,17657
72,meta_llama3,sambalingo_llama2,,19560
67,trendyol_mistral,cosmos_llama3,,10581
83,sambalingo_llama2,trendyol_mistral,,6631
27,trendyol_mistral,meta_llama3,,8214
19,trendyol_mistral,sambalingo_llama2,,16772
95,trendyol_mistral,cosmos_llama3,,6836
100,trendyol_mistral,meta_llama3,,30203
8,meta_llama3,trendyol_mistral,,9642
13,meta_llama3,trendyol_mistral,,6011
84,sambalingo_llama2,trendyol_mistral,,8471
3,sambalingo_llama2,cosmos_llama3,,28543
17,trendyol_mistral,sambalingo_llama2,,6011
38,cosmos_llama3,trendyol_mistral,,11072
117,sambalingo_llama2,trendyol_mistral,,8761
6,meta_llama3,sambalingo_llama2,,9642
77,trendyol_mistral,cosmos_llama3,,19560
111,cosmos_llama3,trendyol_mistral,,26438
94,meta_llama3,cosmos_llama3,,6836
54,sambalingo_llama2,trendyol_mistral,,18970
50,cosmos_llama3,sambalingo_llama2,,19568
80,meta_llama3,trendyol_mistral,,6631
46,cosmos_llama3,trendyol_mistral,,17657
81,cosmos_llama3,sambalingo_llama2,,6631
61,cosmos_llama3,meta_llama3,,20577
116,cosmos_llama3,meta_llama3,,8761
79,meta_llama3,sambalingo_llama2,,6631
93,meta_llama3,trendyol_mistral,,6836
41,meta_llama3,trendyol_mistral,,11072
58,trendyol_mistral,cosmos_llama3,,18970
48,cosmos_llama3,meta_llama3,,19568
101,cosmos_llama3,meta_llama3,,30203
57,trendyol_mistral,meta_llama3,,18970
75,sambalingo_llama2,trendyol_mistral,,19560
32,sambalingo_llama2,meta_llama3,,27623
