index,question,model1,model2
17657,"Beyin damarlarında vaskülit ve iskemik neden kaynaklandığını ve ilk yapılacak teknik tahliller nelerdir, aynı zamanda vücutta herhangi bir probleme yol açar mı yardımcı olmanızı rica edecektim. Saygılarımla.",İlk yapılması gereken tetkik beyin MR'ıdır. Vaskülitin birçok nedeni vardır ama en sık nedenler arasında Behçet hastalığı gelir ki bu hastalıkta vücudun başka yerlerinde de tutulumlar olabilir (gözde iltihaplanma gibi).,Vaskülitlerde tanı için MR anjiografi gerekebilir.
17657,"Beyin damarlarında vaskülit ve iskemik neden kaynaklandığını ve ilk yapılacak teknik tahliller nelerdir, aynı zamanda vücutta herhangi bir probleme yol açar mı yardımcı olmanızı rica edecektim. Saygılarımla.",Vakıf hastalıkları için önce beyin görüntülerini (MRG) çekmek gerekir.,Vaskülitlerde tanı için MR anjiografi gerekebilir.
28543,"Merhaba, 26 yaşındayım ve 4 ay önce total kalça protezi ameliyatı oldum. Son zamanlarda genellikle gece meydana gelen kalça bölgesinde seğirmeler yaşıyorum. Daha önce hiç böyle seğirmelerim olmamıştı ve meydana geldiğinde neredeyse korkutucu oluyor. Bu, kalça protezi ile ilişkili olabilir mi?","Sevgili hasta, Kalçanın kaslarının zayıflığı nedeniyle bu tür belirtiler ortaya çıkabilir veya sinir sıkışması da neden olmuş olabilir. Lütfen ortopedi cerrahınıza danışın ve klinik muayene yaptırın; eğer gerekiyorsa MRI taraması yapılabilir. Eğer sadece nörolojikse o zaman fizyoterapiye ihtiyacınız olacak aksi takdirde cerrahi müdahale gerekebilir. Size iyi sağlıklar dilerim",Kolayca bu şekilde açıklanabilir.
18970,"Kepçe kulaklarım için KBB ve plastik cerraha gittim. Kulaklarım geriye yatınca bu kez kulak memesinin öne çıkması gibi bir durum var. Bunu plastik cerraha söylediğimde kulak memesini de hallederiz dedi. KBB uzmanı ise ona öyle bir şey yapamayız, tutmaz dedi. Sizce bu durumda bu iki uzmandan hangisine bu operasyonu yaptırmalıyım? KBB uzmanına mı, plastik cerraha mı?",Plastik cerrahın yaptığı ameliyat daha başarılı olur ama her ikisi birlikte yaparsa da olabilir tabii ki.,Plastik cerrahın daha iyi sonuçlar alabilirsiniz.
8214,"Merhabalar hocam, benim üst çenemde sağdan sola doğru bir eğrilik var, yüzümün sol tarafı aşağıda gibi duruyor ve yüzümde asimetri var. Burnum sağa doğru yamuk görünüyor. Aynaya baktığımda göremiyorum ama resimlerde çok belli oluyor. Güldüğümde üst çenemin sağdan sola doğru olduğu ve yüzümün asimetrik olduğu belli oluyor. Çenemden kaynaklı olduğunu düşünüyorum. Çene asimetrisi düzeltilirse yüzümün asimetrisi dengeleşir mi?",Çene ameliyatı ile birlikte burun estetiği de yapılabilirse daha iyi olur kanaatindeyim.,"Merhaba, bu tür kozmetik ürünler hakkında bilgi vermemiz etik değil ve yanlış olur. Bu nedenle sorunuzun cevabını bulamadım."
20577,"Merhaba, Babam 63 yaşında, 2012 Ağustos'unda ciddi bir kalp krizi geçirdi, mevcut durumu aşağıdaki gibidir: Koroner Arter Hastalığı: Sağ Ventrikülde Duvar Hareket Bozukluğu +, Anteriyor Duvar Miyokardiyal İnfarktüsü, Sol Ventrikül Fonksiyon Bozukluğu YOK YET / PAH / PIR / PENO. Normal Kapaklar EF: 30 Babamın tehlikeden uzak ve her zaman iyi sağlıkta olmasını istiyorum. Kalp durumunu iyileştirmek için yardıma ihtiyacım var. Lütfen yardım edin. Saygılarımla, Mallikarjuna","Sayın Mallikarju, Sorunuzu göndermek için teşekkür ederim. Öncelikle şunu belirtmek isterim ki babanızın durumunda herhangi bir tehlike yoktur. Ancak kalbinin fonksiyonu çok düşük olduğundan, bu durum onun günlük aktivitelerini etkileyebilir. Bu nedenle, daha fazla egzersiz yapması gerekiyor. Ayrıca, kan basıncını kontrol altında tutmak da önemlidir çünkü yüksek tansiyonun kalbi daha fazla zorlamasına neden olabilir. Eğer sigara içiyorsa bırakmak en iyisi olacaktır. Daha önce hiç yapmadıysa düzenli olarak yürümek veya koşmak gibi fiziksel aktiviteye başlamak faydalı olacaktır.",Chat Doctor'daki sorunuz için teşekkürler! Endişenizi anlıyorum! Bu tür durumlarda genellikle hastalarıma şunları öneriyorum:1) Günde iki kez 20 mg aspirin2) Günlük olarak 1 gm C vitamini3) Her gün düzenli egzersiz4) Yağlı yiyeceklerden kaçınma5) Sigara içmeme6) Alkol tüketmemek7) Tuz tüketimini günde 6 grama sınırlama8) Düzenli tansiyon kontrolü9) Kan lipid profili kontrolu10) Haftada en az 3 ila 4 porsiyon balık tüketimi (omega-3 yağ asitleri açısından zengin). Umuyorum ki bu size yardımcı olur! Başka sorularınız varsa çekinmeden sorun!
19560,"Sorum yalancı trombosit ile ilgili. Bunun ne gibi zararları var, evlilikte doğacak çocuklarla ilgili nelere yol açar bilgi verir misiniz? Saygılar.",Yalanci trombocit diye bir şey yok.,Yalancı tarafından üretilen trombositler normalde vücuttan atılırlar ve herhangi bir sorun yaratmazlar. Ancak bazı durumlarda bu trombiositlerin birikmesi sonucu pıhtı oluşumu meydana gelebilir. Bu durumda da kan damarı tıkanması olabilir.
9642,"Merhaba, 25 yaşında bayanım. 3 ay önce hormon tahlili yaptırdım. T3, T4 ve TSH normal çıktı ancak anti TPO 1090 çıktı ve Hashimoto teşhisi konuldu. 3 ay sonra kan tahlillerini tekrarladım, hormon değerlerinde hala bir sıkıntı yok. Dün boyun için baktırdığım USG'de tiroidde 'sağ ve sol lob boyutları normal sınırlardadır, genel eko kaybı ve hipoekoik mikronodüller izlenmektedir' yazıyordu. Ve 'her iki submandibuler ve her iki yüzeyel parotis içinde, sonografik olarak benin karakterde birkaç LAP mevcuttur' yazmış. 3 ay önce yaptırdığım USG tamamen normal çıkmıştı ve nodül yoktu. Şu an bu bahsedilen hipoekoik mikronodüller tehlike arz ediyor mu? Okuduğum kadarıyla hipoekoik olması ve LAP bulunması malignite lehine gibi şeyler yazıyordu, o yüzden biraz tedirginim.",TSH değeriniz kaç acaba?,Hipoekojeniteler genellikle iyi huyludurlar. Ancak yine de takip edilmelidir.
11072,"Merhaba Doktor, iyi günler, düşük tansiyon sorunu yaşıyorum ve zayıf hissediyorum, her defasında ani olarak kalkıp oturduğumda etrafımın tamamen karardığını hissediyorum. MX3 kapsül/supplement benim için güvenli mi? Tansiyon ölçümü yaptırdım, 100/70 çıktı. Acılarıma çok yardımcı olacak nazik cevabınızı umuyorum.",Chat Doctor'daki sorunuz için teşekkürler! Endişenizi anlıyorum! Düşük kan basıncı (hipotansiyon) yaşıyorsunuz... Bu nedenle size şunları öneririm:1. Kan basıncını düzenli aralıklarla kontrol edin.2. Hipotansif olduğunuzdan emin olun.3. Eğer hipotiroidizm veya Addison hastalığı gibi herhangi bir endokrin bozukluğunuz varsa tedavi ettirmelisiniz.4. Anemiyi dışlamak için tam hologram testi yapılmalıdır.5. Kalp yetmezliğini elemek için EKG yapılmalı.6 Ayrıca anksiyete de bu duruma neden olabilir.7 Lütfen doktorunuza danışın ve yukarıdakileri tartışın.8 Düzenli egzersiz yapın9 Bol miktarda sıvı tüketin10 Sigara içmeyin11 Alkol tüketiyorsanız kaçının12 Stresten uzak durun13 Sağlıklı beslenin14 Umuyorum ki endişelerinizi çözmüşümdür! Daha fazla yardıma ihtiyacınız olursa bana bildirin. Teşekkürseni,"Sorunuzu inceledim ve endişenizi anlıyorum. Düşük kan basıncının birçok nedeni vardır; bunlar arasında yetersiz sıvı alımı, aşırı egzersiz veya fiziksel aktivite, bazı ilaçlar (örneğin beta blokerler), kronik hastalıklar (kronik kalp hastalıkları gibi) yer alıyor. Ancak sizin durumunuzda, bu belirtilerle karşı karşıya kaldığınızda ayağa kalktığınızda baş dönmesi hissi yaşadığınızı belirtmişsiniz. Bu nedenle, öncelikle ortostatik hipotansiyonu dışlamak önemlidir. Bunun için ayakta dururken kan basıncını kontrol etmeniz gerekiyor. Eğer kan basıncı düşerse, o zaman ortostatif hipotansyonunuz olabilir. Bununla birlikte, eğer kan basıncı normal ise, o halde başka nedenleri düşünmemiz gerekebilir."
27969,"Bademcik taşı hakkında. Benim bademciğimde çukurlar var ve içinde beyaz bademcik taşı var, arada temizliyorum yani kan akıyor biraz kan akmadan temizlenmiyor, çok hassas çünkü ve bayağı çıkıyor küçük küçük içine tuz ile suyu sıkıyorum deliklere ve birden iltihaplar dışarı çıkıyor eğlenceli baya ve temiz oluyor. Bademcigim temiz oldu, sorun yok ama kulak çubuğunu bademciği gezdik mi az dokunursam, oradaki tükürükler kulak çubuğuna yapışıyor ve koklayınca kötü koku var, hala bademcik taşının kokusunu alıyorum ama bademciği dokunuyorum, yani gözenekler temiz, dışa dokunduğumda öyle oluyor, koku sinmiş galiba; sizce böyle bir şey mümkün mü, ne yapmam lazım? Son olarak bir delik yüzünden ameliyat olacağım, büyük ihtimalle tıpta gelişme yok mu acaba, merhem filan sürsek kapanmaz mı hiç deneyen olmamıştır ama neden kapanmasın ki sonuçta sonradan olan bir şey, son bir senede oldu, sivilce çukuru oldu mu nasıl merhem krem sürüyorsak onun da bir merhemi kremi sürsek kapanabilir mi, teşekkürler.",Kulak çubuklarıyla oynayıp temizlemeye çalışmak doğru olmaz. Bu şekilde enfeksiyon oluşma riski yüksektir.,"Merhaba, öncelikle geçmiş olsun! Bahsettiğiniz durum için maalesef cerrahi dışında tedavi yöntemini bilmiyorum ancak bahsettiğim gibi bu tür durumlarda genellikle cerrahiden başka seçenek yoktur diye düşünüyorum."
16772,"Merhaba doktor hanım, 2013 tarihinde doğum yaptım ve kırkım çıktıktan sonra ebenin tavsiyesiyle 3 aylık iğne vurulmaya başlandı. İğne vurulmaya başladıktan sonra 15 gün süren adetim oldu ve bir ay sonra tekrar az lekeler halinde oldu, sonrasında ise hiç adet görmedim. Bu durum iğnenin yan etkisi mi, bana zarar verir mi, acaba yan etkisi var mı? Yardımcı olursanız sevinirim.",İğneye bağlı olabilir ama muayene etmeden kesin teşhis koyamam.,İlginiz için teşekkür ederim.
20577,"Merhaba, Babam 63 yaşında, 2012 Ağustos'unda ciddi bir kalp krizi geçirdi, mevcut durumu aşağıdaki gibidir: Koroner Arter Hastalığı: Sağ Ventrikülde Duvar Hareket Bozukluğu +, Anteriyor Duvar Miyokardiyal İnfarktüsü, Sol Ventrikül Fonksiyon Bozukluğu YOK YET / PAH / PIR / PENO. Normal Kapaklar EF: 30 Babamın tehlikeden uzak ve her zaman iyi sağlıkta olmasını istiyorum. Kalp durumunu iyileştirmek için yardıma ihtiyacım var. Lütfen yardım edin. Saygılarımla, Mallikarjuna","Sorunuz için teşekkür ederim. Bu durumda yapabileceğimiz tek şey, kalbinin daha fazla hasara karşı korunmasıdır. Bunun için şu adımları izlemelisiniz:1) Tuz tüketimi günde 6g'dan az olmalıdır (yemek pişirme sırasında eklenen tuz hariç).2) Düzenli olarak egzersiz yapmalı veya en azından günlük 20-25 dakika yürüyüşe çıkmalısınız.3) Kolesterol seviyenizin yüksek olması durumunda kolesterol düşürücü ilaçlara başlamanız gerekebilir.4) Eğer sigara içiyorsanız bırakmanız gerekir.5) Ağırlığınızı kontrol altında tutmaya çalışın.6) Kan basıncını düzenli olarak ölçün ve normal aralıkta olduğundan emin olun.7) Gerektiğinde kan şekerini de kontrol etmelisiniz.8) Bir doktor tarafından önerilirse, bazı antikoagülanların kullanılması da faydalı olabilir.9) Son olarak, bu tür hastalar için özel olarak tasarlanmış yeni bir ilacın deneme aşamasında olduğunu söylemek isterim; ancak henüz çok erken bir aşamada olduğu için bunu yalnızca deneyler tamamlandıktan sonra tartışabiliriz.",Chat Doctor'daki sorunuz için teşekkürler! Endişenizi anlıyorum! Bu tür durumlarda genellikle hastalarıma şunları öneriyorum:1) Günde iki kez 20 mg aspirin2) Günlük olarak 1 gm C vitamini3) Her gün düzenli egzersiz4) Yağlı yiyeceklerden kaçınma5) Sigara içmeme6) Alkol tüketmemek7) Tuz tüketimini günde 6 grama sınırlama8) Düzenli tansiyon kontrolü9) Kan lipid profili kontrolu10) Haftada en az 3 ila 4 porsiyon balık tüketimi (omega-3 yağ asitleri açısından zengin). Umuyorum ki bu size yardımcı olur! Başka sorularınız varsa çekinmeden sorun!
9642,"Merhaba, 25 yaşında bayanım. 3 ay önce hormon tahlili yaptırdım. T3, T4 ve TSH normal çıktı ancak anti TPO 1090 çıktı ve Hashimoto teşhisi konuldu. 3 ay sonra kan tahlillerini tekrarladım, hormon değerlerinde hala bir sıkıntı yok. Dün boyun için baktırdığım USG'de tiroidde 'sağ ve sol lob boyutları normal sınırlardadır, genel eko kaybı ve hipoekoik mikronodüller izlenmektedir' yazıyordu. Ve 'her iki submandibuler ve her iki yüzeyel parotis içinde, sonografik olarak benin karakterde birkaç LAP mevcuttur' yazmış. 3 ay önce yaptırdığım USG tamamen normal çıkmıştı ve nodül yoktu. Şu an bu bahsedilen hipoekoik mikronodüller tehlike arz ediyor mu? Okuduğum kadarıyla hipoekoik olması ve LAP bulunması malignite lehine gibi şeyler yazıyordu, o yüzden biraz tedirginim.","Merhaba! Bu tür belirtilerle ilgili olarak çeşitli nedenler olabilir: - Başın altındaki kemiğin (kafatasının) içinden geçen büyük kan damarlarından biri olan serebral anevrizma veya vaskülit gibi bazı beyin lezyonları. - Midenizdeki asitlikten kaynaklanan kalp çarpıntısı ve göğüs sıkışması ile birlikte ortaya çıkan bir durum olan Gastroözofageal Reflü Hastalığı (GORD). - Böbreğinizde sorun varken de görünebilir. - Kardiyak aritmiler. - Nefes alma sırasında oksijen seviyelerindeki düşüşe bağlı olarak da ortaya çıkabilir. - Bazı ilaçların yan etkileri. - Diğerleri arasında nöbetler, çok düşük tansiyon vb. yer alır. Lütfen daha fazla bilgi verin; yaşınızı, cinsiyetinizi, varsa diğer eşlik eden hastalıkları, yakın zamanda herhangi bir yeni ilacı kullanıp kullanmadığını, alkolik olup olmadığınızı, sigara içip içmediğinizi, aile geçmişiyle ilgili bilgileri vb. sağlayın.",Hipoekojeniteler genellikle iyi huyludurlar. Ancak yine de takip edilmelidir.
11072,"Merhaba Doktor, iyi günler, düşük tansiyon sorunu yaşıyorum ve zayıf hissediyorum, her defasında ani olarak kalkıp oturduğumda etrafımın tamamen karardığını hissediyorum. MX3 kapsül/supplement benim için güvenli mi? Tansiyon ölçümü yaptırdım, 100/70 çıktı. Acılarıma çok yardımcı olacak nazik cevabınızı umuyorum.",Kansizlik için nedeniniz bulunmalı ve bu nedenle de tedavi edilmeli. Bu şekilde sadece demir ilacı kullanmak yeterli değil.,Chat Doctor'daki sorunuz için teşekkürler! Endişenizi anlıyorum! Düşük kan basıncı (hipotansiyon) yaşıyorsunuz... Bu nedenle size şunları öneririm:1. Kan basıncını düzenli aralıklarla kontrol edin.2. Hipotansif olduğunuzdan emin olun.3. Eğer hipotiroidizm veya Addison hastalığı gibi herhangi bir endokrin bozukluğunuz varsa tedavi ettirmelisiniz.4. Anemiyi dışlamak için tam hologram testi yapılmalıdır.5. Kalp yetmezliğini elemek için EKG yapılmalı.6 Ayrıca anksiyete de bu duruma neden olabilir.7 Lütfen doktorunuza danışın ve yukarıdakileri tartışın.8 Düzenli egzersiz yapın9 Bol miktarda sıvı tüketin10 Sigara içmeyin11 Alkol tüketiyorsanız kaçının12 Stresten uzak durun13 Sağlıklı beslenin14 Umuyorum ki endişelerinizi çözmüşümdür! Daha fazla yardıma ihtiyacınız olursa bana bildirin. Teşekkürseni
8471,"Merhaba, 13 aylık bir bebeğim var. 1 hafta önce yüksek ateş, ishal ve kusma şikayetleriyle doktora götürdük. Lökopenisi vardı, antibiyotik tedavisi aldı ve ateşi düştü, kusması geçti ama ishali hala devam ediyor. Yapılan tahlillerde WBC normal çıktı. İshali için Reflor 250 veriyorum ama hala geçmedi, günde 7-8 kez yapıyor. Suda içiriyorum ama halsizleşmeye başladı. Ne yapabilirim? Çocuk zayıflamaya başladı, çaresiz kaldım. Teşekkür ederim.",Kızınızdaki büyüme geriliği çok hafif düzeyde. Bu nedenle bu tür durumlar için genellikle herhangi bir şey yapılmaz. Ancak yine de daha fazla bilgiye sahip olmak gerekir. Örneğin ebeveynlerin boyları ne kadardır? Ailede başka büyümenin gecikmesi var mıdır? Bunlar da önemlidir.,Bebeklerde bu tip durumlar sık görülen durumlardır. Bu sebeple de çok titizlikle izlenmelidirler. Ateşin düşmesi ile birlikte bebeklerin kendilerini daha iyi hissetmeleri gerekirken aksine yorgunlukları artar. Bebeklere suyunuza bolca ekleyerek beslemeye özen gösteriniz.
