FileObject(id='file-aEOYPJJj9kfntaGdJA9Zabr0', bytes=816689, created_at=1720429394, filename='sohbetler167732_batch_22000-22499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-ZBAyKcE62q0REwxmV86ha01N', bytes=814182, created_at=1720429395, filename='sohbetler167732_batch_21000-21499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-QwDIr5X23azXmNNK5V7GrbNr', bytes=792478, created_at=1720429396, filename='sohbetler167732_batch_21500-21999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-noxL8Naa1AliXsDb6rM08UDz', bytes=790183, created_at=1720429397, filename='sohbetler167732_batch_22500-22999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-xNe3R03UZ6NAwgGwA1ut6Zrp', bytes=766198, created_at=1720429398, filename='sohbetler167732_batch_23500-23999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-ncAKs6RHkWviSpTaUQiLyM2q', bytes=772502, created_at=1720429399, filename='sohbetler167732_batch_23000-23499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-fxxaXZJBDs8ydp0eewknz6LL', bytes=878536, created_at=1720429400, filename='sohbetler167732_batch_24500-24999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-TjBiaf8f57rd3EMxXl0HyV5A', bytes=919196, created_at=1720429401, filename='sohbetler167732_batch_24000-24499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-5HOZ6WE8d2AvrS8mLo5weomO', bytes=919883, created_at=1720429402, filename='sohbetler167732_batch_25000-25499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-r9FQkU9sztoIStg0IJF9wYR5', bytes=797650, created_at=1720429403, filename='sohbetler167732_batch_25500-25999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-RnMySgqAyaAsDKyfGeXroVOC', bytes=931782, created_at=1720429403, filename='sohbetler167732_batch_26000-26499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-LTjh83kO0fPsITL13QRb3eQm', bytes=904974, created_at=1720429404, filename='sohbetler167732_batch_26500-26999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-tbLPQP2fpg1b0LUVc7P1nOTz', bytes=894652, created_at=1720429405, filename='sohbetler167732_batch_27000-27499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-auD2fOHUxjQit8YiAfXMOnhQ', bytes=902081, created_at=1720429406, filename='sohbetler167732_batch_27500-27999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-KQVvyU507Ae9Vk6OaIjynZcS', bytes=933646, created_at=1720429409, filename='sohbetler167732_batch_28000-28499.jsonl', object='file', purpose='batch', status='processed', status_details=None)
FileObject(id='file-TGV4ZQ0pxmryGe9L9ps70q04', bytes=885678, created_at=1720429410, filename='sohbetler167732_batch_29500-29999.jsonl', object='file', purpose='batch', status='processed', status_details=None)
