question,answer
"Assalamaualaikum dok, saya mau konsul mengenai feses bayi. Bayi saya baru berusia 3 bulan, semalam pup warna fesesnya kuning pucat. Padahal sore harinya saat pup fesesnya berwarna normal, bayi saya minum asui dan sufor dok. Kondisinya bayi saya tidak sedang demam, tidak rewel dan masih aktif. Apakah berbahaya dok?","Waalaikumsalm. warna fases bayi serta konsentrasinya bisa berubah-ubah selama beberapa hari, minggu dan bulan pertama setelah lahir. usia, pola makan dan kondisi kesehatan bisa mempengaruhi perubahan warna fases bayi, warna fasse bayi berwarna kuning atau coklat. ASI dan susu formula juga memperngaruhi warna fases bayi.warna fases bayi berwarna kuning merupakan warna fases yang normal, terutama pada bayi yang di susui."
"Selamat sore dok, kemarin saya terpeleset, terus waktu ke dokter katanya ligamen di lutut robek, aapakah bisa sembuh sendiri dok?","cedera ligamen lutut anterior (ACL) ialah suatu kondisi kerusakan atau adanya robekan pada ligamen lutut anterior. cedera ini dapat terjadi saat seseorang melakukan gerakan yang menimbulkan tekanan pada lutut. gejala yang dapat terjadi akibat cedera ini ialah nyeri hebat pada lutut, lutut sulit digerakan, lutut bengkak. penanganan kondisi ini disesuaikan dnegan gejala yang dialami dan tingkat keparahan cedera."
"Selamat sore dok, minggu kemarin anak saya sunat dengan metode smart klamp saat ini klampnya baru di lepas setelah dilepas ada bengkak seperti donat bekas jepitan klampnya terus di bagian luka bekas potongan masih ada nanah. Sampai sekarang bengkaknya sudah kempes sedikit. Bagaimana cara mengatasi luka sunatnya yang masih bernanah dok?","Beragam metode sunat (sirkumsisi) tersedia saat ini, termasuk salah satunya metode smart klamp. Pada prinsipnya, sunat dilakukan untuk memotong kelebihan kulup penis (preputium) agar tidak lagi menutupi kepala penis. Dengan begitu, penis akan lebih mudah dibersihkan. Khusus untuk metode smart klamp, kelebihan kulup penis akan dijepit dengan alat khusus, yang kemudian akan tetap terpasang di penis, baru kemudian dilepas setelah beberapa hari. Metode sunat smart klamp banyak diminati mengingat tidak perlu dilakukan penjahitan dan minim risikonya memicu perdarahan."
"Selamat Sore alodokter, dok maaf ganggu saya mau bertanya. Saya beberapa hari lalu terjatuh dari sepeda motor dan dengkul saya luka terbaret aspal dan lukanya terbuka sampe keliatan daging putihnya. Lutut saya sakit dok saat di tekuk, saya kemaren pas kecelakaan langsung saya guyur rivanol. Luka saya sengaja tidak ditutup perban soalnya kalo pake perban akan sangat lengket dan sakit. Cara untuk menangani luka terbuka bagusnya seperti apa ya dokter? mohon pencerahannya. makasih","Luka di lutut sehabis terjatuh dari motor yang terasa nyeri bisa bersifat ringan namun bisa juga berbahaya, tergantung dari kedalamannya, ukurannya, dan kerusakan jaringan yang disebabkannya. Menilai keparahan luka ini tentu tidak bisa sembarangan, melainkan harus dengan melibatkan pemeriksaan fisik langsung."
"Dok, saya mau bertanya. Saya wanita umur 20th belum menikah dok dan belum pernah nge seks.. sudah hampir seminggu ini saya merasa kram perut dibagian perut bawah pusar saya dok. Saat berjalan terasa sakit, saat ada goncangan sedang naik motor juga sakit. kira kenapa ya dok apa ada hubungannya dengan nyeri sebelum dtang bulan/ karena hormon? Tapi biasanya sebelum datang bulan sakitnya tidak selama sakit yg sekarang ini","Alo, selamat siangkeluhan nyeri atau kram pada perut bagian bawah dapat disebabkan oleh beragam hal penyebab yang dimana organ di perut tersebut adanya usus, saluran kemih dan organ reproduksi."
"Hallo dokter, dok saya kalau tidur biasanya tumpuan pada tangan kiri, tangan kiri saya jadi sering kesemutan dan telapak tangannya jadi panas. kesemutannya itu kaya di tusuk-tusuk jarum lho dokter. ini berlangsung terus-menerus. apakah nantinya ada efek sampingnya dok? biar gak kesemutan lagi obatinnya pake apa ya?","kesemutan ialah sensasi seperti tertusuk jarum atau mati rasa di bagian tubuh tertentu, dalam dunia medis disebut dengan parasetesia. kesemutan dapat terjadi sementara yang disebabkan karena tekanan pada saraf atau terhambatnya sirkulasi darah kondisi ini bisa terjadi akibat gerakan berulang, akibat tumpan pada tangan saat tidur dan lainnya."
"Dok saya baru saja baca di suatu artikel cara untuk mempercepat haid agar cepat selesai, nah salah satu caranya itu minum air putih yang cukup. Apakah minum air putih yang banyak dapat mempercepat haid? mohon penjelasannya dok.","Alo,Haid normalnya memiliki siklus sekitar 21-35 hari dengan lama haid 2-7 hari, dan volume yang keluar sekitar 30-40 ml. Untuk membantu melancarkan haid salah satunya adalah dengan memenuhi kebutuhan cairan tubuh yaitu dengan minum air putih 2-3 liter/hari. Dengan mengkonsumsi air putih yang cukup, maka tubuh akan terhidrasi dengan baik dan aliran darah lebih lancar sehingga dapat membantu melancarkan haid. Namun minum air putih juga sebaiknya tidak berlebihan ya. Bergantung pada berat badan Anda, Anda dapat minum air putih sekitar 2-3 liter / hari saja."
"Pagi dok, Tadi saya pup. Pas pup tuh ada darahnya gitu dok.. ini bukan yg pertama sih dok.. Biasanya saya tuh kayak gini kalo habis makan pedas. Terus juga kalau saya lagi stres. Itu kenapa ya dok? apakah berbahaya untuk saya dok? saya harus apa ya dok, biar hal spt ini tdk terulang lagi","Terima kasih atas pertanyaannya.Buang air besar berdarah dapat disebabkan karena terjadi perdarahan pada saluran cerna. Perdarahan saluran cerna tersebut dapat terjadi baik pada saluran cerna atas maupun saluran cerna bawah. Pada perdarahan saluran cerna atas sendiri ditandai dengan BAB yang berwarna kehitaman, sedangkan pada perdarahan saluran cerna bawah ditandai dengan BAB berwarna merah segar."
"Ãƒâ€šÃ‚Â Hallo dokter, dok saya remaja 16 th, saya dari dulu kalo pelajaran olahraga selalu alasan sakit, gak enak badan soalnya saya malas dok. saya olahraga sesekali aja. Apa akibatnya ya dok kalau saya jarang berolahraga?","Alo, saya dr. Tirtawati Wijaya. Terima kasih sudah bertanya ke Alodokter.Olahraga memiliki sangat banyak manfaat, antara lain:Membantu proses pertumbuhan pada anak-anak dan remaja. Mereka yang cukup berolahraga (tidak kekurangan dan juga tidak berlebihan) memiliki kesempatan lebih baik untuk memiliki tubuh yang tinggi bila faktor lainnya (nutrisi dan tidur) juga terpenuhi. Kesempatan untuk menambah tinggi badan secara alami hanya ada sampai masa pubertas saja, setelah selesai pubertas pertumbuhan tinggi badan akan berhenti.Membentuk tubuh yang sehat, atletis, dan sedap dipandang mata."
"Assalamualaikum Dok, saya seorang pria umur 29 tahun. perut sebelah kiri bawah tepatnya di bawah pusar agak ke sebelah kiri, perut dekat pangkal paha,,perut saya bagian yang saya jelaskan tersebut kalo agak di tekan suka tidak nyaman, terasa sampe belakang perut, buang air kecil saya normal dan lancar, tapi saya sering buang gas.. Kenapa ya dengan kondisi saya ini?","Waalaikumsalam, Alo, terima kasih atas pertanyaannya untuk Alodokter.Keluhan nyeri perut pada bagian kiri bawah yang tidak disertai gangguan berkemih namun adanya kemungkinan gejala ganggua pencernaan, maka bisa disebabkan oleh banyak kemungkinan penyebab yaitu seperti adanya radang atau infeksi pada organ usus besar, ataupun karena konstipasi, alergi, atau keracunan makanan."
